number,lot,href,start_price
Торги № 960000243159,( лот 9 ),https://tbankrot.ru/item?id=5411910,41400000.0
Торги № 960000243159,( лот 2 ),https://tbankrot.ru/item?id=5411909,36000000.0
Торги № 960000243159,( лот 8 ),https://tbankrot.ru/item?id=5411908,68400000.0
Торги № 960000243159,( лот 22 ),https://tbankrot.ru/item?id=5411907,64800000.0
Торги № 960000243159,( лот 21 ),https://tbankrot.ru/item?id=5411904,72000000.0
Торги № 960000243159,( лот 14 ),https://tbankrot.ru/item?id=5411903,46764000.0
Торги № 960000243159,( лот 24 ),https://tbankrot.ru/item?id=5411902,58680000.0
Торги № 960000243159,( лот 16 ),https://tbankrot.ru/item?id=5411901,954050410.24
Торги № 960000243159,( лот 19 ),https://tbankrot.ru/item?id=5411900,15624000.0
Торги № 960000243159,( лот 26 ),https://tbankrot.ru/item?id=5411899,90000000.0
Торги № 960000243159,( лот 17 ),https://tbankrot.ru/item?id=5411898,629651591.73
Торги № 960000243159,( лот 12 ),https://tbankrot.ru/item?id=5411897,22320000.0
Торги № 960000243159,( лот 18 ),https://tbankrot.ru/item?id=5411896,48077538.87
Торги № 960000243159,( лот 25 ),https://tbankrot.ru/item?id=5411895,64800000.0
Торги № 960000243159,( лот 28 ),https://tbankrot.ru/item?id=5411884,659446730.82
Торги № 960000243159,( лот 27 ),https://tbankrot.ru/item?id=5411879,20462400.0
Торги № 960000243160,( лот 13 ),https://tbankrot.ru/item?id=5411875,341639800.79
Торги № 960000243161,( лот 1 ),https://tbankrot.ru/item?id=5411873,665974984.45
Торги № 960000243163,( лот 2 ),https://tbankrot.ru/item?id=5411870,13251372.52
Торги № 960000243166,( лот 1 ),https://tbankrot.ru/item?id=5411852,97785522.23
Торги № 960000243154,( лот 1 ),https://tbankrot.ru/item?id=5411347,62278642.73
Торги № 30768-ОТПП,( лот 1 ),https://tbankrot.ru/item?id=5411336,244456575.3
Торги № 172797,( лот 1 ),https://tbankrot.ru/item?id=5411075,12152890.65
Торги № ПП-96486,( лот 1 ),https://tbankrot.ru/item?id=5410898,175159210.63
Торги № 32546-ОАОФ,( лот 2 ),https://tbankrot.ru/item?id=5410876,57767687.9
Торги № 32546-ОАОФ,( лот 1 ),https://tbankrot.ru/item?id=5410875,16882725.55
Торги № ПП-96483,( лот 2 ),https://tbankrot.ru/item?id=5410818,27000000.0
Торги № ПП-14892,( лот 1 ),https://tbankrot.ru/item?id=5410804,85123202.82
Торги № ПП-3693,( лот 24 ),https://tbankrot.ru/item?id=5410787,73717556.56
Торги № 116900-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5410685,19598826.36
Торги № 116900-МЭТС,( лот 9 ),https://tbankrot.ru/item?id=5410678,23162508.45
Торги № 10342-ОАОФ,( лот 6 ),https://tbankrot.ru/item?id=5409511,494114275.46
Торги № 10342-ОАОФ,( лот 8 ),https://tbankrot.ru/item?id=5409513,47786503.33
Торги № 10342-ОАОФ,( лот 7 ),https://tbankrot.ru/item?id=5409512,286312630.13
Торги № 10342-ОАОФ,( лот 5 ),https://tbankrot.ru/item?id=5409510,399684445.67
Торги № 10342-ОАОФ,( лот 3 ),https://tbankrot.ru/item?id=5409508,1365086912.95
Торги № 10342-ОАОФ,( лот 4 ),https://tbankrot.ru/item?id=5409509,745218076.93
Торги № 10342-ОАОФ,( лот 2 ),https://tbankrot.ru/item?id=5409507,1622039684.47
Торги № 10342-ОАОФ,( лот 1 ),https://tbankrot.ru/item?id=5409506,2895667854.08
Торги № 5281691,( лот 1 ),https://tbankrot.ru/item?id=5409145,18158000.0
Торги № ОАОФЦП-21308,( лот 1 ),https://tbankrot.ru/item?id=5408910,20000000.0
Торги № ОАОФЦП-21308,( лот 5 ),https://tbankrot.ru/item?id=5408914,18589104.28
Торги № 5740-ОАОФ,( лот 1 ),https://tbankrot.ru/item?id=5408649,76183831.71
Торги № 116839-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5408448,109146087.0
Торги № 116839-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5408447,133650000.0
Торги № 116833-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5408409,20568588.68
Торги № 172615,( лот 1 ),https://tbankrot.ru/item?id=5408203,96770271.6
Торги № 172617,( лот 1 ),https://tbankrot.ru/item?id=5408201,16271502.29
Торги № 116812-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5408142,10578151.53
Торги № 116799-МЭТС,( лот 24 ),https://tbankrot.ru/item?id=5407946,11763594.0
Торги № 960000242863,( лот 2 ),https://tbankrot.ru/item?id=5407897,354469464.75
Торги № 960000242918,( лот 2 ),https://tbankrot.ru/item?id=5407894,26368567.18
Торги № 960000242920,( лот 3 ),https://tbankrot.ru/item?id=5407893,36083606.31
Торги № 22000124620000000086,( лот 7 ),https://tbankrot.ru/item?id=5407855,14060036.13
Торги № SBR013-2305200001-0,( лот 1 ),https://tbankrot.ru/item?id=5407842,26545031.77
Торги № 172578,( лот 1 ),https://tbankrot.ru/item?id=5407508,161899500.45
Торги № ОАОФЦП-78719,( лот 4 ),https://tbankrot.ru/item?id=5407433,78727397.25
Торги № 10126-ОТПП,( лот 75 ),https://tbankrot.ru/item?id=5407315,17903691.0
Торги № 116784-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5407276,32988756.92
Торги № 100000834,( лот 21 ),https://tbankrot.ru/item?id=5407225,195458429.49
Торги № 100000834,( лот 16 ),https://tbankrot.ru/item?id=5407220,20260254.91
Торги № 100000834,( лот 12 ),https://tbankrot.ru/item?id=5407216,88901716.05
Торги № 100000834,( лот 15 ),https://tbankrot.ru/item?id=5407219,39763306.72
Торги № 100000834,( лот 3 ),https://tbankrot.ru/item?id=5407207,12826859.77
Торги № 2714-ОАОФ,( лот 455 ),https://tbankrot.ru/item?id=5407080,11138431.99
Торги № 2714-ОАОФ,( лот 453 ),https://tbankrot.ru/item?id=5407078,22263603.5
Торги № 2714-ОАОФ,( лот 456 ),https://tbankrot.ru/item?id=5407081,32006000.0
Торги № 2714-ОАОФ,( лот 454 ),https://tbankrot.ru/item?id=5407079,17264082.18
Торги № 2714-ОАОФ,( лот 458 ),https://tbankrot.ru/item?id=5407083,38966069.72
Торги № 2714-ОАОФ,( лот 457 ),https://tbankrot.ru/item?id=5407082,357081967.23
Торги № 2714-ОАОФ,( лот 437 ),https://tbankrot.ru/item?id=5407062,16004551.11
Торги № 2714-ОАОФ,( лот 436 ),https://tbankrot.ru/item?id=5407061,19887343.0
Торги № 2714-ОАОФ,( лот 435 ),https://tbankrot.ru/item?id=5407060,25615458.37
Торги № 2714-ОАОФ,( лот 434 ),https://tbankrot.ru/item?id=5407059,17787782.52
Торги № 2714-ОАОФ,( лот 433 ),https://tbankrot.ru/item?id=5407058,21738005.1
Торги № 2714-ОАОФ,( лот 432 ),https://tbankrot.ru/item?id=5407057,16375640.85
Торги № 2714-ОАОФ,( лот 430 ),https://tbankrot.ru/item?id=5407055,15587161.42
Торги № 7313–ОАОФ,( лот 1 ),https://tbankrot.ru/item?id=5407011,144740701.22
Торги № 116780-МЭТС,( лот 6 ),https://tbankrot.ru/item?id=5406940,11881800.0
Торги № 2713-ОАОФ,( лот 424 ),https://tbankrot.ru/item?id=5406874,16980251.38
Торги № 2713-ОАОФ,( лот 422 ),https://tbankrot.ru/item?id=5406872,23056144.98
Торги № 2713-ОАОФ,( лот 425 ),https://tbankrot.ru/item?id=5406875,18913893.0
Торги № 2713-ОАОФ,( лот 423 ),https://tbankrot.ru/item?id=5406873,23510026.85
Торги № 2713-ОАОФ,( лот 421 ),https://tbankrot.ru/item?id=5406871,19882516.88
Торги № 2713-ОАОФ,( лот 418 ),https://tbankrot.ru/item?id=5406867,27096238.81
Торги № 2713-ОАОФ,( лот 420 ),https://tbankrot.ru/item?id=5406869,15384956.4
Торги № 2713-ОАОФ,( лот 407 ),https://tbankrot.ru/item?id=5406856,10595868.25
Торги № 2713-ОАОФ,( лот 391 ),https://tbankrot.ru/item?id=5406840,20864415.6
Торги № 2713-ОАОФ,( лот 385 ),https://tbankrot.ru/item?id=5406834,12766011.0
Торги № 2713-ОАОФ,( лот 392 ),https://tbankrot.ru/item?id=5406841,13695718.8
Торги № 2713-ОАОФ,( лот 389 ),https://tbankrot.ru/item?id=5406838,19805961.07
Торги № 2713-ОАОФ,( лот 384 ),https://tbankrot.ru/item?id=5406833,29116976.98
Торги № 7306–ОТПП,( лот 1 ),https://tbankrot.ru/item?id=5406794,902042311.65
Торги № 960000243057,( лот 3 ),https://tbankrot.ru/item?id=5406688,30553859.85
Торги № 960000243063,( лот 1 ),https://tbankrot.ru/item?id=5406608,929047654.63
Торги № 2712-ОАОФ,( лот 355 ),https://tbankrot.ru/item?id=5406188,19237462.18
Торги № 2712-ОАОФ,( лот 354 ),https://tbankrot.ru/item?id=5406187,14150540.91
Торги № 2712-ОАОФ,( лот 353 ),https://tbankrot.ru/item?id=5406186,22485470.88
Торги № 2712-ОАОФ,( лот 352 ),https://tbankrot.ru/item?id=5406185,44486558.78
Торги № 2712-ОАОФ,( лот 351 ),https://tbankrot.ru/item?id=5406184,30856837.05
Торги № 2712-ОАОФ,( лот 332 ),https://tbankrot.ru/item?id=5406165,12262405.09
Торги № ПП-78708,( лот 1 ),https://tbankrot.ru/item?id=5406133,70200000.0
Торги № ПП-78713,( лот 1 ),https://tbankrot.ru/item?id=5406131,137736847.21
Торги № 2709-ОАОФ,( лот 240 ),https://tbankrot.ru/item?id=5405643,12091829.82
Торги № 2709-ОАОФ,( лот 237 ),https://tbankrot.ru/item?id=5405640,14890650.67
Торги № 2709-ОАОФ,( лот 239 ),https://tbankrot.ru/item?id=5405642,12448595.17
Торги № 2709-ОАОФ,( лот 235 ),https://tbankrot.ru/item?id=5405638,16626039.69
Торги № 2709-ОАОФ,( лот 238 ),https://tbankrot.ru/item?id=5405641,13272812.61
Торги № 2709-ОАОФ,( лот 236 ),https://tbankrot.ru/item?id=5405639,15412857.04
Торги № 2709-ОАОФ,( лот 234 ),https://tbankrot.ru/item?id=5405637,21015751.16
Торги № 2709-ОАОФ,( лот 232 ),https://tbankrot.ru/item?id=5405635,35419900.32
Торги № 2709-ОАОФ,( лот 233 ),https://tbankrot.ru/item?id=5405636,21203123.3
Торги № 2709-ОАОФ,( лот 231 ),https://tbankrot.ru/item?id=5405634,32639634.42
Торги № 2709-ОАОФ,( лот 230 ),https://tbankrot.ru/item?id=5405633,81016019.62
Торги № 960000243037,( лот 4 ),https://tbankrot.ru/item?id=5405599,29062793.48
Торги № 960000243037,( лот 11 ),https://tbankrot.ru/item?id=5405598,46326640.99
Торги № 960000243037,( лот 13 ),https://tbankrot.ru/item?id=5405597,58000336.16
Торги № 960000243037,( лот 10 ),https://tbankrot.ru/item?id=5405596,23811067.88
Торги № 960000243037,( лот 8 ),https://tbankrot.ru/item?id=5405594,37940387.24
Торги № 960000243037,( лот 15 ),https://tbankrot.ru/item?id=5405592,44272897.05
Торги № 960000243037,( лот 14 ),https://tbankrot.ru/item?id=5405589,82907333.21
Торги № 960000243037,( лот 7 ),https://tbankrot.ru/item?id=5405588,29703606.71
Торги № 960000243037,( лот 5 ),https://tbankrot.ru/item?id=5405586,60936297.83
Торги № 960000243037,( лот 6 ),https://tbankrot.ru/item?id=5405585,45813977.16
Торги № 960000243037,( лот 12 ),https://tbankrot.ru/item?id=5405584,110801099.66
Торги № 960000243037,( лот 9 ),https://tbankrot.ru/item?id=5405583,41912834.36
Торги № 960000243037,( лот 19 ),https://tbankrot.ru/item?id=5405582,43959310.18
Торги № 960000243037,( лот 17 ),https://tbankrot.ru/item?id=5405581,34931596.99
Торги № 960000243037,( лот 18 ),https://tbankrot.ru/item?id=5405580,13906971.02
Торги № 960000243037,( лот 16 ),https://tbankrot.ru/item?id=5405576,21674228.51
Торги № 960000243037,( лот 21 ),https://tbankrot.ru/item?id=5405571,45418773.06
Торги № 960000243037,( лот 23 ),https://tbankrot.ru/item?id=5405566,41075403.03
Торги № 960000243037,( лот 20 ),https://tbankrot.ru/item?id=5405546,60980095.81
Торги № 960000243037,( лот 22 ),https://tbankrot.ru/item?id=5405544,46187244.73
